Temperature_C,Humidity_pct,Catalyst_pct,NCO_OH_Ratio,Pot_Life_min
22.5,58.6,0.115,1.1,106.0
34.0,70.3,0.112,1.03,70.0
29.6,68.0,0.277,1.13,21.0
27.0,37.7,0.112,1.09,95.0
18.1,37.5,0.118,1.02,114.0
18.1,43.4,0.24,1.14,82.0
16.2,48.1,0.162,1.08,103.0
32.3,50.4,0.244,1.01,40.0
27.0,64.0,0.066,1.09,116.0
29.2,32.8,0.172,1.04,71.0
15.4,31.7,0.058,1.12,200.0
34.4,49.6,0.066,1.12,96.0
31.6,64.9,0.277,1.15,43.0
19.2,39.7,0.085,1.08,147.0
18.6,62.1,0.183,1.07,102.0
18.7,43.0,0.153,1.11,94.0
21.1,74.3,0.137,1.02,97.0
25.5,74.8,0.275,1.08,43.0
23.6,44.9,0.055,1.08,165.0
20.8,41.5,0.216,1.01,72.0
27.2,50.6,0.291,1.06,40.0
17.8,42.0,0.19,1.13,99.0
20.8,63.6,0.284,1.13,51.0
22.3,71.3,0.063,1.01,134.0
24.1,63.7,0.155,1.01,70.0
30.7,71.2,0.115,1.04,73.0
19.0,49.8,0.233,1.13,83.0
25.3,37.8,0.295,1.02,50.0
26.8,66.9,0.114,1.11,92.0
15.9,48.0,0.214,1.02,77.0
27.2,63.6,0.1,1.09,85.0
18.4,43.5,0.191,1.05,84.0
16.3,34.1,0.166,1.12,104.0
34.0,79.6,0.293,1.04,27.0
34.3,37.8,0.202,1.1,50.0
31.2,79.4,0.137,1.04,53.0
21.1,78.9,0.079,1.11,131.0
17.0,69.7,0.088,1.13,145.0
28.7,63.0,0.106,1.02,73.0
23.8,58.9,0.113,1.13,94.0
17.4,73.3,0.263,1.09,65.0
24.9,44.5,0.19,1.02,64.0
15.7,53.4,0.181,1.06,98.0
33.2,61.0,0.079,1.02,83.0
20.2,50.6,0.265,1.11,59.0
28.3,51.4,0.231,1.11,59.0
21.2,46.5,0.067,1.02,141.0
25.4,58.2,0.227,1.08,49.0
25.9,72.5,0.186,1.12,81.0
18.7,40.1,0.07,1.14,154.0
34.4,76.7,0.165,1.08,32.0
30.5,64.5,0.171,1.14,58.0
33.8,71.2,0.091,1.08,54.0
32.9,57.8,0.286,1.06,31.0
27.0,69.0,0.262,1.13,61.0
33.4,30.8,0.217,1.07,33.0
